car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,zscore
Jeep Compass 2.0 Longitude Option BSIV,10.03,0.4682440792649749,0,1,1,0.4858742434718351,0.8290736335495194,-0.34842298015668555,-0.0835148072711612
Renault Duster RXZ Turbo CVT,12.83,-1.2461261490526023,1,0,1,1.539751574815715,-0.29668216813545284,-0.34842298015668555,0.0584088442509667
Toyota Camry 2.5 G,16.4,-0.13978908990304628,1,0,1,0.22240491063586518,1.796576223496029,-0.34842298015668555,0.2393614999416797
Volkswagen Polo 1.2 MPI Highline,5.15,0.07330324396563663,1,1,1,0.22240491063586518,-0.5322636537915733,-0.34842298015668555,-0.3308674570668697
Volkswagen Vento 1.2 TSI Highline AT,7.66,-0.3893638837538772,1,0,1,0.4858742434718351,-0.5358603176947201,-0.34842298015668555,-0.2036430408809622
Volkswagen Vento 1.2 TSI Highline Plus AT,7.58,-0.5310417434784971,1,0,1,0.4858742434718351,-0.5358603176947201,-0.34842298015668555,-0.207698002353023
Honda WR-V VX Diesel,11.6,-1.2174194097749558,0,1,1,1.539751574815715,0.005437599728884717,-0.34842298015668555,-0.003936188381968
Honda City i VTEC CVT SV,6.99,-1.0539413421537274,1,0,1,-0.04106442220010477,0.003639267777311279,-0.34842298015668555,-0.2376033432094714
Renault Duster Petrol RXS CVT,7.53,-0.8114845041139658,1,0,1,0.4858742434718351,0.005437599728884717,-0.34842298015668555,-0.210232353273061
Maruti Baleno 1.2 Alpha,6.43,-0.6598931877811898,1,1,1,0.4858742434718351,-0.5358603176947201,-0.34842298015668555,-0.2659880735138971
Honda City i VTEC CVT SV,5.43,1.0334050723432213,1,0,1,-0.3045337550360747,0.003639267777311279,-0.34842298015668555,-0.316675091914657
Mahindra XUV300 W6,8.62,-1.313476575819388,1,1,1,1.276282241979745,-0.5358603176947201,-0.34842298015668555,-0.1549835032162327
Jeep Compass 1.4 Limited Plus BSIV,16.78,-0.7967317772184159,1,0,1,1.012812909143775,-0.22834555397566222,-0.34842298015668555,0.2586225669339687
Honda City V MT,10.03,-0.6433785906353753,1,1,1,1.276282241979745,0.005437599728884717,-0.34842298015668555,-0.0835148072711612
Hyundai Grand i10 AT Asta,5.63,-0.16398544134001503,1,0,2,0.22240491063586518,-0.5358603176947201,-0.34842298015668555,-0.306537688234505
Hyundai i20 1.4 Asta,6.67,0.4552297310163529,0,1,1,0.4858742434718351,-0.17799225933160595,-0.34842298015668555,-0.2538231890977147
Maruti Ciaz 1.4 Delta,6.73,-0.7358180497659306,1,1,2,0.4858742434718351,-0.21935389421779503,-0.34842298015668555,-0.250781967993669
Nissan Micra XL Optional,3.21,-0.7141352998860061,1,1,2,-0.04106442220010477,-0.5340619857431467,-0.34842298015668555,-0.4292002727643441
Maruti Ciaz Alpha Automatic BSIV,8.5,-0.24181312319504164,1,0,1,1.012812909143775,-0.05930235052775905,-0.34842298015668555,-0.1610659454243239
Maruti Swift Dzire VXI,4.34,-0.22846989249970356,1,1,1,-0.3045337550360747,-0.5358603176947201,-0.34842298015668555,-0.3719239419714854
Renault KWID RXT,3.11,-0.40926127178020005,1,1,1,0.4858742434718351,-1.2515964344209485,-0.34842298015668555,-0.4342689746044201
Renault KWID RXL BSIV,3.7,-1.1498575585781383,1,1,1,1.012812909143775,-1.2515964344209485,-0.34842298015668555,-0.4043636337479717
Jeep Compass 2.0 Limited Plus BSIV,15.88,-1.1952433362249573,0,1,1,1.012812909143775,0.8290736335495194,-0.34842298015668555,0.2130042503732846
Hyundai Grand i10 1.2 Kappa Magna BSIV,5.41,-1.058404746787731,1,1,1,0.7493435763078051,-0.5358603176947201,-0.34842298015668555,-0.3176888322826722
Maruti Alto K10 LXI,2.23,-0.09238303436925706,1,1,1,-0.3045337550360747,-0.8937283760578343,-0.34842298015668555,-0.4788735507970889
Hyundai Verna 1.6 VTVT S Option,5.88,0.3062224910506318,1,1,2,-0.04106442220010477,0.17268247122521443,-0.34842298015668555,-0.293865933634315
Maruti Swift Dzire VXI 1.2,6.12,-0.35165986039821234,1,1,1,0.7493435763078051,-0.5358603176947201,-0.34842298015668555,-0.2817010492181326
Nissan Magnite XV Premium,7.44,-1.4230414137825165,1,1,1,1.539751574815715,-0.8919300441062609,-0.34842298015668555,-0.2147941849291294
Honda City i VTEC CVT VX,8.39,-0.46693315797219836,1,0,1,0.22240491063586518,0.003639267777311279,-0.34842298015668555,-0.1666415174484075
Honda Amaze S i-Vtech,4.2,0.7955995717641587,1,1,1,-0.04106442220010477,-0.5340619857431467,-0.34842298015668555,-0.3790201245475917
Hyundai Grand i10 Sportz,4.91,-0.7251763534543316,1,1,1,0.22240491063586518,-0.5358603176947201,-0.34842298015668555,-0.3430323414830521
Hyundai EON Era Plus,2.93,-0.35727435359572257,1,1,1,0.4858742434718351,-1.2246214551473469,-0.34842298015668555,-0.4433926379165569
Maruti Alto 800 LXI,2.98,-0.8295025638733396,1,1,1,0.22240491063586518,-1.2569914302756688,-0.34842298015668555,-0.4408582869965189
Renault KWID RXL,2.6,-0.7896138214073465,1,1,1,0.22240491063586518,-1.2515964344209485,-0.34842298015668555,-0.4601193539888077
Hyundai EON Magna Plus,2.38,-0.20467289831946148,1,1,2,-0.3045337550360747,-1.2246214551473469,-0.34842298015668555,-0.4712704980369749
Honda Jazz 1.2 V AT i VTEC,6.05,-0.6218837735821457,1,0,1,0.22240491063586518,-0.5322636537915733,-0.34842298015668555,-0.2852491405061858
