Unnamed: 0,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,zscore
61,Toyota Corolla Altis 1.8 G,13.9,54000.0,1,1,1,2019.0,1798.0,5.0,1.7682166072680594
63,Hyundai Verna VTVT 1.6 SX,8.9,19600.0,1,1,1,2019.0,1591.0,5.0,0.6342169055165064
64,Audi A4 2.0 TDI Technology Edition,16.9,48000.0,0,0,1,2015.0,1968.0,5.0,2.4486164283189904
65,Audi Q3 2.0 TDI,13.9,69500.0,0,0,1,2012.0,1968.0,5.0,1.7682166072680594
66,BMW 5 Series 530d,15.0,71000.0,0,0,2,2012.0,2993.0,5.0,2.0176965416534007
68,Maruti A-Star Zxi,1.53,46257.0,1,1,3,2008.0,998.0,5.0,-1.0372986548652825
69,Ford Ecosport 1.5 DV5 MT Titanium,5.09,78264.0,0,1,2,2015.0,1498.0,5.0,-0.229890867218177
70,Honda Jazz 1.2 S AT i VTEC,5.46,42451.0,1,0,1,2016.0,1199.0,5.0,-0.145974889288562
71,Volkswagen Vento Diesel Highline,2.73,131861.0,0,1,2,2012.0,1598.0,5.0,-0.76513872644491
72,Maruti Wagon R VXI BS IV,1.8,128004.0,1,1,2,2012.0,998.0,5.0,-0.9760626709706988
73,Chevrolet Beat Diesel PS,1.1,150349.0,0,1,1,2012.0,936.0,5.0,-1.134822629215916
74,Maruti Wagon R VXI BS IV,3.69,29033.0,1,1,1,2017.0,998.0,5.0,-0.5474107837086118
75,BMW 3 Series 320d Luxury Line,13.5,99000.0,0,0,1,2015.0,1995.0,5.0,1.6774966311279351
76,Renault KWID RXL,2.75,47000.0,1,1,1,2018.0,799.0,5.0,-0.7606027276379037
77,Maruti Baleno 1.3 Sigma,5.5,35000.0,0,1,1,2018.0,1248.0,5.0,-0.1369028916745496
78,Mercedes-Benz C-Class C 220 CDI BE COR,9.75,58000.0,0,0,1,2013.0,2143.0,5.0,0.8269968548142703
79,Honda City S,4.0,48000.0,1,1,1,2012.0,1497.0,5.0,-0.4771028022000155
80,Honda Amaze VX AT i-Vtech,4.75,45000.0,1,0,1,2014.0,1198.0,5.0,-0.3070028469372826
82,Hyundai EON D Lite,1.9,60000.0,1,1,2,2012.0,814.0,5.0,-0.9533826769356678
83,Hyundai i20 Magna Optional 1.2,4.65,23000.0,1,1,1,2014.0,1197.0,5.0,-0.3296828409723135
84,Hyundai Grand i10 1.2 Kappa Era,4.6,45000.0,1,1,1,2019.0,1197.0,5.0,-0.3410228379898292
85,Hyundai i10 Magna 1.1L,3.25,45000.0,1,1,1,2014.0,1086.0,5.0,-0.6472027574627485
86,Maruti Ertiga VDI,5.25,58000.0,0,1,1,2013.0,1248.0,7.0,-0.1936028767621272
87,Hyundai i20 1.2 Spotz,6.25,48000.0,1,1,1,2018.0,1197.0,5.0,0.0331970635881833
89,Skoda Kushaq 1.0 TSI Style 6 Airbags AT,16.75,16000.0,1,0,1,2022.0,999.0,5.0,2.4145964372664444
90,Honda City i-VTEC VX,10.0,24000.0,1,1,1,2019.0,1497.0,5.0,0.883696839901848
91,MG Hector Plus Select Diesel MT 7 STR,17.9,36000.0,0,1,1,2021.0,1956.0,7.0,2.675416368669301
92,Jeep Compass 1.4 Limited Plus,13.9,35000.0,1,0,2,2019.0,1368.0,5.0,1.7682166072680594
93,Honda Amaze E Petrol BSIV,6.1,64000.0,1,1,1,2019.0,1199.0,5.0,-0.0008229274643633
94,Maruti Vitara Brezza VDi,7.75,72000.0,0,1,1,2017.0,1248.0,5.0,0.3733969741136492
95,Hyundai Grand i10 Magna,4.6,29900.0,1,1,1,2015.0,1197.0,5.0,-0.3410228379898292
96,Mahindra XUV700 AX5 Diesel AT,20.91,20000.0,0,0,1,2022.0,2198.0,5.0,3.358084189123736
97,Tata Indigo VX BSIV,3.1,160000.0,0,1,1,2013.0,1396.0,5.0,-0.681222748515295
98,Tata Tiago XZ Plus,5.65,16000.0,1,1,1,2020.0,1199.0,5.0,-0.1028829006220029
99,Honda WR-V i-VTEC VX,9.0,17000.0,1,1,1,2019.0,1199.0,5.0,0.6568968995515374
102,Honda Jazz 1.5 SV i DTEC,5.5,32000.0,0,1,1,2015.0,1498.0,5.0,-0.1369028916745496
103,Volkswagen Polo 1.2 MPI Comfortline,4.5,67000.0,1,1,1,2015.0,1198.0,5.0,-0.3637028320248602
104,Ford Ecosport 1.5 Petrol Titanium AT,6.75,50000.0,1,0,1,2016.0,1496.0,5.0,0.1465970337633386
